city,sickCount,actualSick,verifiedLast7Days,testLast7Days,status,lastUpdate,date
יפיע,28,23, קטן מ-15 ,1019,נדרשת הגדלה של מספר הבדיקות,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
שערי תקווה,16, קטן מ-15 , קטן מ-15 ,631,נדרשת הגדלה של מספר הבדיקות,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
כוכב השחר,23, קטן מ-15 , קטן מ-15 ,281,נדרשת הגדלה של מספר הבדיקות,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
נוף הגליל,47, קטן מ-15 , קטן מ-15 ,4389,נדרשת הגדלה של מספר הבדיקות,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
אכסאל,21, קטן מ-15 , קטן מ-15 ,855,נדרשת הגדלה של מספר הבדיקות,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
פתח תקווה,978,570,233,36626,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
בת ים,775,493,102,22747,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
ראשון לציון,750,438,199,32746,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
חולון,655,389,159,27542,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
נתניה,620,356,153,24703,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
מודיעין עילית,806,342,152,11304,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
באר שבע,614,324,104,33994,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
רמת גן,530,304,141,23253,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
רמלה,389,292,110,10643,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
רחובות,441,276,121,20826,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
חיפה,524,273,135,31495,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
קרית גת,325,242,75,7997,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
רהט,393,236,49,8117,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
טבריה,436,220,64,9127,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
רעננה,372,218,72,12781,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
דימונה,251,217,40,8722,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
אלעד,638,203,69,8161,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
מודיעין-מכבים-רעות,334,203,106,12181,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
הרצליה,341,198,88,13727,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
אור יהודה,344,178,76,6565,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
אשקלון,467,177,116,19035,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
ערערה-בנגב,299,169, קטן מ-15 ,3951,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
באקה אל-גרביה,206,153,51,4696,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
חדרה,220,142,58,17067,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
כפר קאסם,163,140,29,3569,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
כפר סבא,214,131,48,13447,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
ראש העין,193,129,64,7900,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
יבנה,173,112,52,6565,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
גבעתיים,161,106,38,7869,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
כפר קרע,133,106,64,2740,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
אילת,141,103,46,4934,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
הוד השרון,153,100,45,7510,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
נהריה,148,99,33,9396,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
קרית אתא,126,97,60,6687,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
בית שאן,106,92,22,2769,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
רמת השרון,137,90,45,5756,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
קרית אונו,140,84,30,5175,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
טייבה,134,83,44,4514,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
נס ציונה,113,81,53,5087,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
נתיבות,188,76,27,4734,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
רכסים,126,70,31,2017,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
מעלה אדומים,126,69,37,6614,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
אופקים,122,68,26,4680,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
אום אל-פחם,163,64,21,5035,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
ערד,82,59,30,2725,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
טירה,72,59, קטן מ-15 ,3382,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
פרדס חנה-כרכור,85,58,29,6872,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
נצרת,82,57,31,3573,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
באר יעקב,95,56,33,3337,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
יהוד,137,54,27,3743,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
גני תקווה,104,52,33,3249,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
גדרה,107,50,30,5137,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
ערערה,63,49,31,2439,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
שוהם,87,48,18,3234,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
עפולה,114,47, קטן מ-15 ,5494,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
צפת,153,45,20,4196,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
חורה,249,42, קטן מ-15 ,2390,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
ג'לג'וליה,54,41,23,1617,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
גבעת שמואל,91,41,24,3273,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
שדרות,102,37, קטן מ-15 ,4728,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
אור עקיבא,44,35,20,2344,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
עכו,64,32, קטן מ-15 ,5683,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
ג'ת,64,31, קטן מ-15 ,1975,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
קרית יערים,75,31, קטן מ-15 ,1201,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
מזכרת בתיה,50,30, קטן מ-15 ,2423,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
שפרעם,42,29,16,3258,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
נחף,40,29, קטן מ-15 ,1155,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
קדימה-צורן,46,28, קטן מ-15 ,1915,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
טמרה,51,27, קטן מ-15 ,2802,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
חריש,39,26,15,1428,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
אריאל,41,25, קטן מ-15 ,2158,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
מבשרת ציון,47,25, קטן מ-15 ,4568,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
אלפי מנשה,29,24, קטן מ-15 ,1155,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
סביון,27,23, קטן מ-15 ,866,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
אזור,59,22, קטן מ-15 ,1726,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
טירת כרמל,40,22, קטן מ-15 ,1946,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
תפרח,26,22, קטן מ-15 ,309,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
ג'סר א-זרקא,66,21, קטן מ-15 ,3433,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
לקיה,33,19, קטן מ-15 ,1250,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
כפר יונה,35,19, קטן מ-15 ,2021,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
קרית ביאליק,36,18, קטן מ-15 ,3752,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
כפר ברא,21,17, קטן מ-15 ,592,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
תל שבע,22,17, קטן מ-15 ,984,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
קרית ים,44,17, קטן מ-15 ,3785,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
אבן יהודה,51,17, קטן מ-15 ,1983,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
קרית מוצקין,40,16, קטן מ-15 ,5459,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
בית דגן,27,16, קטן מ-15 ,802,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
יד בנימין,23,15, קטן מ-15 ,836,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
כרמיאל,70,15, קטן מ-15 ,4987,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
בית אריה,28,15, קטן מ-15 ,671,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
ראמה,16, קטן מ-15 , קטן מ-15 ,812,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
מגדל העמק,112, קטן מ-15 , קטן מ-15 ,2831,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
מג'ד אל-כרום,34, קטן מ-15 , קטן מ-15 ,2520,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
חצור הגלילית,17, קטן מ-15 , קטן מ-15 ,827,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
סאג'ור,16, קטן מ-15 ,0,727,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
ג'דיידה-מכר,15, קטן מ-15 , קטן מ-15 ,1547,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
קרית עקרון,24, קטן מ-15 , קטן מ-15 ,1118,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
בענה,48, קטן מ-15 , קטן מ-15 ,2171,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
זכרון יעקב,53, קטן מ-15 , קטן מ-15 ,1888,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
כאבול,16, קטן מ-15 , קטן מ-15 ,1419,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
צור הדסה,20, קטן מ-15 , קטן מ-15 ,1856,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
כפר יאסיף,18, קטן מ-15 , קטן מ-15 ,1330,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
להבים,34, קטן מ-15 , קטן מ-15 ,1757,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
בית ג'ן,15, קטן מ-15 , קטן מ-15 ,800,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
נשר,15, קטן מ-15 , קטן מ-15 ,2717,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
מעלה עירון,27, קטן מ-15 , קטן מ-15 ,1275,"נדרשת הידברות, הסברה ואכיפה",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
קיסריה, קטן מ-15 , קטן מ-15 , קטן מ-15 ,516,,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
עספיא, קטן מ-15 , קטן מ-15 , קטן מ-15 ,994,,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
זמר, קטן מ-15 , קטן מ-15 , קטן מ-15 ,772,,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
זרזיר, קטן מ-15 , קטן מ-15 , קטן מ-15 ,274,,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
ניצן, קטן מ-15 , קטן מ-15 , קטן מ-15 ,306,,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
קרית ארבע,18, קטן מ-15 , קטן מ-15 ,701,,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
שילה, קטן מ-15 , קטן מ-15 , קטן מ-15 ,268,,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
שלומי,20, קטן מ-15 , קטן מ-15 ,1293,,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
קרית טבעון, קטן מ-15 , קטן מ-15 , קטן מ-15 ,1541,,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
שעב, קטן מ-15 , קטן מ-15 ,0,1481,,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
עפרה,19, קטן מ-15 , קטן מ-15 ,392,,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
טלמון, קטן מ-15 , קטן מ-15 ,0,305,,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
עראבה, קטן מ-15 , קטן מ-15 , קטן מ-15 ,1320,,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
מתן, קטן מ-15 , קטן מ-15 , קטן מ-15 ,312,,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
תקוע, קטן מ-15 , קטן מ-15 , קטן מ-15 ,525,,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
מבוא חורון, קטן מ-15 , קטן מ-15 , קטן מ-15 ,281,,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
יקיר, קטן מ-15 , קטן מ-15 ,0,183,,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
ירוחם,19, קטן מ-15 , קטן מ-15 ,1094,,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
ירכא, קטן מ-15 , קטן מ-15 , קטן מ-15 ,1602,,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
קרני שומרון, קטן מ-15 , קטן מ-15 , קטן מ-15 ,714,,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
כפר תבור, קטן מ-15 , קטן מ-15 , קטן מ-15 ,386,,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
כפר כנא,21, קטן מ-15 , קטן מ-15 ,1737,,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
city,sickCount,actualSick,verifiedLast7Days,testLast7Days,status,lastUpdate,date
בני ברק,6486,2779,1029,5189,"נדרשים הסברה, בדיקות ואכיפת בידוד",2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
ביתר עילית,1642,1058,303,1495,"נדרשים הסברה, בדיקות ואכיפת בידוד",2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
בית שמש,1720,921,430,2140,"נדרשים הסברה, בדיקות ואכיפת בידוד",2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
אלעד,991,476,231,1006,"נדרשים הסברה, בדיקות ואכיפת בידוד",2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
קלנסווה,422,400,248,1567,"נדרשים הסברה, בדיקות ואכיפת בידוד",2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
ירושלים,10346,5005,1797,15358,נדרשת הגדלה של מספר הבדיקות,2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
תל אביב - יפו,3394,2106,412,7440,נדרשת הגדלה של מספר הבדיקות,2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
מודיעין עילית,1231,595,260,1196,נדרשת הגדלה של מספר הבדיקות,2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
נצרת,268,230,124,845,נדרשת הגדלה של מספר הבדיקות,2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
טייבה,296,213,119,704,נדרשת הגדלה של מספר הבדיקות,2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
רכסים,203,123,45,320,נדרשת הגדלה של מספר הבדיקות,2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
עין מאהל,112,104,70,425,נדרשת הגדלה של מספר הבדיקות,2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
יפיע,78,66,38,195,נדרשת הגדלה של מספר הבדיקות,2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
יבנאל,91,56, קטן מ-15 ,66,נדרשת הגדלה של מספר הבדיקות,2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
כפר מנדא,55,55,40,242,נדרשת הגדלה של מספר הבדיקות,2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
בנימינה-גבעת עדה,43,34,23,218,נדרשת הגדלה של מספר הבדיקות,2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
שלומי,36,24, קטן מ-15 ,91,נדרשת הגדלה של מספר הבדיקות,2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
כפר כנא,41,22,18,209,נדרשת הגדלה של מספר הבדיקות,2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
חשמונאים,27,22, קטן מ-15 ,66,נדרשת הגדלה של מספר הבדיקות,2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
גבע בנימין,34,22, קטן מ-15 ,79,נדרשת הגדלה של מספר הבדיקות,2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
אעבלין,23,21, קטן מ-15 ,154,נדרשת הגדלה של מספר הבדיקות,2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
עראבה,31,20,15,300,נדרשת הגדלה של מספר הבדיקות,2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
טלמון,21,17, קטן מ-15 ,92,נדרשת הגדלה של מספר הבדיקות,2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
זמר,23,16, קטן מ-15 ,121,נדרשת הגדלה של מספר הבדיקות,2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
הושעיה,18,15, קטן מ-15 ,35,נדרשת הגדלה של מספר הבדיקות,2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
אלקנה,24,15, קטן מ-15 ,81,נדרשת הגדלה של מספר הבדיקות,2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
קרני שומרון,21, קטן מ-15 , קטן מ-15 ,105,נדרשת הגדלה של מספר הבדיקות,2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
אבו גוש,17, קטן מ-15 , קטן מ-15 ,102,נדרשת הגדלה של מספר הבדיקות,2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
עין נקובא, קטן מ-15 , קטן מ-15 , קטן מ-15 ,54,נדרשת הגדלה של מספר הבדיקות,2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
מרכז שפירא,27, קטן מ-15 , קטן מ-15 ,48,נדרשת הגדלה של מספר הבדיקות,2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
פתח תקווה,1605,1025,337,4860,"נדרשת הידברות, הסברה ואכיפה",2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
אשדוד,1982,1022,276,4240,"נדרשת הידברות, הסברה ואכיפה",2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
חולון,1095,716,259,3155,"נדרשת הידברות, הסברה ואכיפה",2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
לוד,917,687,171,1679,"נדרשת הידברות, הסברה ואכיפה",2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
